Reference,Value,Qty
"C1,C2,C6,C7,C10,C11,C18,C19,C20,C23,C24,C25,C27",CL05A104KA5NNNC,13
"C3,C4",GRM1555C1E4R0BA01D,2
"C5,C17,C22",GRM155R60J475ME47D,3
"C8,C9,C12,C13,C14",CL05A105MQ5NNNC,5
C15,GRM155R71E472JA01D,1
"C16,C21",CC0402JRNPO8BN330,2
"C26,C28",C0402C101K3GACAUTO,2
D1,LTST-C191KFKT,1
D2,PESD0402-140,1
D3,"BAT54J,115",1
"J1,J2",SM04B-GHS-TBLFSN,2
J3,201267-0005,1
J4,CONUFL001-SMD-T,1
L1,LQG15WZ68NJ02D,1
"R1,R5",RC0402FR-0722KL,2
"R2,R7",CRCW040247K0JNED,2
R3,RT0402BRE073KL,1
"R4,R8",RT0603FRE0760R4L,2
R6,RT0402BRD071KL,1
R9,RC0402JR-0710RL,1
SW1,450404015514,1
"T1,T2",SI2369DS-T1-BE3,2
U1,PI5C3257QEX,1
U2,STM32G491KCU6,1
U3,LIS3MDL,1
U5,CP2102N-A02-GQFN20R,1
"U6,U8",2N7001TQDCKRQ1,2
U7,LC29HEA,1
U9,TJA1051TK,1
VR1,NCP163ASN330T1G,1
Y1,402F2401XIAR,1
